Id,Label,timeset,category,startyearcorfixvalue,endyearcor,Size,Color
Q6970481,National Art Library,"<[1710.0, 19500.0]>",Werkgever,1710,19500,11.276596,"#ff83ff"
Q2256,Birmingham,"<[1710.0, 19500.0]>",Werklocatie,1710,19500,11.276596,"#00feff"
Q10429346,bibliograaf,"<[1710.0, 1710.0]>",Beroep,1710,1710,12.553191,"#00c7ff"
Q18120029,bibliofiel,"<[1710.0, 1710.0]>",Beroep,1710,1710,13.829787,"#00c7ff"
Q1137665,Universiteit Gent,"<[1710.0, 19500.0]>",Werkgever,1710,19500,16.382978,"#ff83ff"
Q2538413,Sint-Denijs-Westrem,"<[1710.0, 19500.0]>",Woonplaats,1710,19500,11.276596,"#005432"
Q34001,Roubaix,"<[1710.0, 19500.0]>",Werklocatie,1710,19500,11.276596,"#00feff"
Q4773904,antropoloog,"<[1710.0, 1710.0]>",Beroep,1710,1710,13.829787,"#00c7ff"
Q696825,Denderleeuw,"<[1710.0, 19500.0]>",Werklocatie,1710,19500,11.276596,"#00feff"
Q123719897,"Rijksmiddelbare en Rijkstechnische School, Ieper","<[1710.0, 19500.0]>",Werkgever,1710,19500,11.276596,"#ff83ff"
Q621,Versailles,"<[1710.0, 19500.0]>",Werklocatie,1710,19500,11.276596,"#00feff"
Q1402736,privaatdocent,"<[1710.0, 1710.0]>",Beroep,1710,1710,11.276596,"#00c7ff"
Q2599593,germanist,"<[1710.0, 1710.0]>",Beroep,1710,1710,11.276596,"#00c7ff"
Q586,Bonn,"<[1710.0, 19500.0]>",Werklocatie,1710,19500,11.276596,"#00feff"
Q43631,Leiden,"<[1710.0, 19500.0]>",Werklocatie,1710,19500,15.106382,"#00feff"
Q1012357,Vichte,"<[1710.0, 19500.0]>",Werklocatie,1710,19500,11.276596,"#00feff"
Q1925963,graficus,"<[1710.0, 1710.0]>",Beroep,1710,1710,10,"#00c7ff"
Q25434898,afdelingsdirecteur,"<[1710.0, 1710.0]>",Beroep,1710,1710,10,"#00c7ff"
Q115825807,Jacob Petyt,"<[1710.0, 19500.0]>",Werkgever,1710,19500,10,"#ff83ff"
